employeeId,firstName,lastName,middleName,email,role,departmentCode,departmentName,positionCode,positionTitle,levelName,levelRank,basicSalary,currency,payFrequency,employmentType,employmentStatus,workLocation,hireDate,reportToEmployeeId
EMP-00020,Maria,Mendoza,,maria.mendoza.20@example.com,CTO,IT,IT Department,IT-CTO,CTO,Director / Head,1,174275,PHP,SEMI_MONTHLY,REGULAR,ACTIVE,ONSITE,2020-03-05,
EMP-00021,Grace,Lopez,Camille,grace.lopez.21@example.com,Project Manager,IT,IT Department,IT-PM,Project Manager,Manager / Lead,2,167003,PHP,SEMI_MONTHLY,PROBATIONARY,ACTIVE,ONSITE,2021-03-06,EMP-00001
EMP-00022,Isabella,Flores,Rafael,isabella.flores.22@example.com,Tech Lead,IT,IT Department,IT-TL,Tech Lead,Manager / Lead,2,143127,PHP,SEMI_MONTHLY,REGULAR,ACTIVE,ONSITE,2020-10-14,EMP-00015
EMP-00023,Jose,Flores,,jose.flores.23@example.com,Project Manager,IT,IT Department,IT-PM,Project Manager,Manager / Lead,2,139658,PHP,SEMI_MONTHLY,REGULAR,ACTIVE,ONSITE,2020-08-17,EMP-00019
EMP-00024,Ana,Gonzales,,ana.gonzales.24@example.com,Project Manager,IT,IT Department,IT-PM,Project Manager,Manager / Lead,2,171978,PHP,SEMI_MONTHLY,PROBATIONARY,ACTIVE,ONSITE,2021-06-12,EMP-00014
EMP-00025,Ana,Cruz,Patricia,ana.cruz.25@example.com,Project Manager,IT,IT Department,IT-PM,Project Manager,Manager / Lead,2,132474,PHP,SEMI_MONTHLY,REGULAR,ACTIVE,ONSITE,2021-11-09,EMP-00013
EMP-00026,Patricia,Aquino,,patricia.aquino.26@example.com,Tech Lead,IT,IT Department,IT-TL,Tech Lead,Manager / Lead,2,111692,PHP,SEMI_MONTHLY,REGULAR,ACTIVE,REMOTE,2021-01-17,EMP-00012
EMP-00027,Sofia,Santos,Jose,sofia.santos.27@example.com,Tech Lead,IT,IT Department,IT-TL,Tech Lead,Manager / Lead,2,148724,PHP,SEMI_MONTHLY,REGULAR,ACTIVE,REMOTE,2020-12-27,EMP-00015
EMP-00028,Carlos,Pascual,,carlos.pascual.28@example.com,Tech Lead,IT,IT Department,IT-TL,Tech Lead,Manager / Lead,2,102931,PHP,SEMI_MONTHLY,PROBATIONARY,ACTIVE,REMOTE,2020-08-06,EMP-00011
EMP-00029,Jose,Reyes,,jose.reyes.29@example.com,Project Manager,IT,IT Department,IT-PM,Project Manager,Manager / Lead,2,169070,PHP,SEMI_MONTHLY,PROBATIONARY,ACTIVE,ONSITE,2020-03-18,EMP-00004
EMP-00030,Sofia,Manalo,,sofia.manalo.30@example.com,Tech Lead,IT,IT Department,IT-TL,Tech Lead,Manager / Lead,2,172405,PHP,SEMI_MONTHLY,REGULAR,ACTIVE,ONSITE,2021-05-08,EMP-00011
EMP-00031,Juan,Hernandez,Juan,juan.hernandez.31@example.com,Project Manager,IT,IT Department,IT-PM,Project Manager,Manager / Lead,2,103860,PHP,SEMI_MONTHLY,PROBATIONARY,ACTIVE,HYBRID,2021-08-15,EMP-00016
EMP-00032,Camille,Aquino,,camille.aquino.32@example.com,Tech Lead,IT,IT Department,IT-TL,Tech Lead,Manager / Lead,2,167803,PHP,SEMI_MONTHLY,REGULAR,ACTIVE,ONSITE,2020-02-26,EMP-00020
EMP-00033,Mark,Vargas,,mark.vargas.33@example.com,Project Manager,IT,IT Department,IT-PM,Project Manager,Manager / Lead,2,114662,PHP,SEMI_MONTHLY,REGULAR,ACTIVE,ONSITE,2020-06-21,EMP-00003
EMP-00034,Kevin,Fernandez,,kevin.fernandez.34@example.com,Tech Lead,IT,IT Department,IT-TL,Tech Lead,Manager / Lead,2,132554,PHP,SEMI_MONTHLY,PROBATIONARY,ACTIVE,ONSITE,2020-09-25,EMP-00013
EMP-00035,Maria,Torres,,maria.torres.35@example.com,Project Manager,IT,IT Department,IT-PM,Project Manager,Manager / Lead,2,136324,PHP,SEMI_MONTHLY,PROBATIONARY,ACTIVE,HYBRID,2020-03-24,EMP-00006
EMP-00036,Patricia,Santos,James,patricia.santos.36@example.com,Project Manager,IT,IT Department,IT-PM,Project Manager,Manager / Lead,2,162761,PHP,SEMI_MONTHLY,REGULAR,ACTIVE,HYBRID,2020-12-21,EMP-00020
EMP-00037,Nicole,Manalo,,nicole.manalo.37@example.com,Tech Lead,IT,IT Department,IT-TL,Tech Lead,Manager / Lead,2,106897,PHP,SEMI_MONTHLY,PROBATIONARY,ACTIVE,REMOTE,2021-04-22,EMP-00019
EMP-00038,Rafael,Vargas,Miguel,rafael.vargas.38@example.com,Project Manager,IT,IT Department,IT-PM,Project Manager,Manager / Lead,2,106956,PHP,SEMI_MONTHLY,PROBATIONARY,ACTIVE,ONSITE,2021-07-12,EMP-00015
EMP-00039,Jose,Cruz,,jose.cruz.39@example.com,Project Manager,IT,IT Department,IT-PM,Project Manager,Manager / Lead,2,163666,PHP,SEMI_MONTHLY,PROBATIONARY,ACTIVE,HYBRID,2021-05-22,EMP-00013
EMP-00040,Isabella,Cruz,,isabella.cruz.40@example.com,Tech Lead,IT,IT Department,IT-TL,Tech Lead,Manager / Lead,2,112491,PHP,SEMI_MONTHLY,REGULAR,ACTIVE,ONSITE,2021-09-01,EMP-00018
EMP-00041,Ana,Manalo,,ana.manalo.41@example.com,Tech Lead,IT,IT Department,IT-TL,Tech Lead,Manager / Lead,2,147289,PHP,SEMI_MONTHLY,REGULAR,ACTIVE,ONSITE,2021-10-06,EMP-00005
EMP-00042,John,Reyes,Camille,john.reyes.42@example.com,Tech Lead,IT,IT Department,IT-TL,Tech Lead,Manager / Lead,2,114514,PHP,SEMI_MONTHLY,PROBATIONARY,ACTIVE,ONSITE,2020-07-02,EMP-00001
EMP-00043,Camille,Aquino,,camille.aquino.43@example.com,Tech Lead,IT,IT Department,IT-TL,Tech Lead,Manager / Lead,2,119830,PHP,SEMI_MONTHLY,PROBATIONARY,ACTIVE,ONSITE,2020-07-18,EMP-00002
EMP-00044,Mark,Reyes,,mark.reyes.44@example.com,Project Manager,IT,IT Department,IT-PM,Project Manager,Manager / Lead,2,152997,PHP,SEMI_MONTHLY,PROBATIONARY,ACTIVE,ONSITE,2020-04-25,EMP-00019
EMP-00045,Ana,Garcia,Isabella,ana.garcia.45@example.com,Project Manager,IT,IT Department,IT-PM,Project Manager,Manager / Lead,2,158822,PHP,SEMI_MONTHLY,PROBATIONARY,ACTIVE,HYBRID,2021-04-23,EMP-00012
EMP-00046,Christine,Cruz,James,christine.cruz.46@example.com,Project Manager,IT,IT Department,IT-PM,Project Manager,Manager / Lead,2,130127,PHP,SEMI_MONTHLY,PROBATIONARY,ACTIVE,REMOTE,2020-09-07,EMP-00011
EMP-00047,Camille,Mendoza,Rafael,camille.mendoza.47@example.com,Tech Lead,IT,IT Department,IT-TL,Tech Lead,Manager / Lead,2,152183,PHP,SEMI_MONTHLY,REGULAR,ACTIVE,REMOTE,2020-04-19,EMP-00010
EMP-00048,Patricia,Rivera,,patricia.rivera.48@example.com,Project Manager,IT,IT Department,IT-PM,Project Manager,Manager / Lead,2,147732,PHP,SEMI_MONTHLY,PROBATIONARY,ACTIVE,HYBRID,2021-02-01,EMP-00003
EMP-00049,Daniel,Rivera,,daniel.rivera.49@example.com,Project Manager,IT,IT Department,IT-PM,Project Manager,Manager / Lead,2,156380,PHP,SEMI_MONTHLY,REGULAR,ACTIVE,REMOTE,2021-04-27,EMP-00001
EMP-00050,John,Bautista,Sofia,john.bautista.50@example.com,Project Manager,IT,IT Department,IT-PM,Project Manager,Manager / Lead,2,157306,PHP,SEMI_MONTHLY,REGULAR,ACTIVE,ONSITE,2021-01-19,EMP-00005
EMP-00051,Ana,Reyes,,ana.reyes.51@example.com,Project Manager,IT,IT Department,IT-PM,Project Manager,Manager / Lead,2,146671,PHP,SEMI_MONTHLY,REGULAR,ACTIVE,REMOTE,2020-07-20,EMP-00010
EMP-00052,Daniel,Bautista,,daniel.bautista.52@example.com,Tech Lead,IT,IT Department,IT-TL,Tech Lead,Manager / Lead,2,162430,PHP,SEMI_MONTHLY,REGULAR,ACTIVE,REMOTE,2021-06-19,EMP-00006
EMP-00053,Maria,Rivera,Camille,maria.rivera.53@example.com,Project Manager,IT,IT Department,IT-PM,Project Manager,Manager / Lead,2,104657,PHP,SEMI_MONTHLY,REGULAR,ACTIVE,ONSITE,2021-07-11,EMP-00006
EMP-00054,Camille,Hernandez,,camille.hernandez.54@example.com,Tech Lead,IT,IT Department,IT-TL,Tech Lead,Manager / Lead,2,107103,PHP,SEMI_MONTHLY,REGULAR,ACTIVE,HYBRID,2020-04-16,EMP-00005
EMP-00055,Kevin,Mendoza,,kevin.mendoza.55@example.com,Project Manager,IT,IT Department,IT-PM,Project Manager,Manager / Lead,2,130224,PHP,SEMI_MONTHLY,REGULAR,ACTIVE,ONSITE,2021-07-25,EMP-00017
EMP-00056,Rafael,Santos,,rafael.santos.56@example.com,Tech Lead,IT,IT Department,IT-TL,Tech Lead,Manager / Lead,2,135022,PHP,SEMI_MONTHLY,REGULAR,ACTIVE,HYBRID,2021-02-11,EMP-00011
EMP-00057,Ana,Mendoza,Patricia,ana.mendoza.57@example.com,Tech Lead,IT,IT Department,IT-TL,Tech Lead,Manager / Lead,2,119005,PHP,SEMI_MONTHLY,PROBATIONARY,ACTIVE,REMOTE,2021-04-19,EMP-00001
EMP-00058,Jose,Mendoza,Camille,jose.mendoza.58@example.com,Project Manager,IT,IT Department,IT-PM,Project Manager,Manager / Lead,2,158913,PHP,SEMI_MONTHLY,REGULAR,ACTIVE,REMOTE,2021-02-04,EMP-00014
EMP-00059,Sofia,Cruz,,sofia.cruz.59@example.com,Project Manager,IT,IT Department,IT-PM,Project Manager,Manager / Lead,2,114975,PHP,SEMI_MONTHLY,REGULAR,ACTIVE,ONSITE,2020-11-12,EMP-00007
EMP-00060,Maria,Castro,,maria.castro.60@example.com,Tech Lead,IT,IT Department,IT-TL,Tech Lead,Manager / Lead,2,108307,PHP,SEMI_MONTHLY,REGULAR,ACTIVE,HYBRID,2020-02-25,EMP-00017
EMP-00061,Camille,Aquino,Angela,camille.aquino.61@example.com,Tech Lead,IT,IT Department,IT-TL,Tech Lead,Manager / Lead,2,139479,PHP,SEMI_MONTHLY,PROBATIONARY,ACTIVE,REMOTE,2021-03-14,EMP-00001
EMP-00062,Maria,Santos,,maria.santos.62@example.com,Tech Lead,IT,IT Department,IT-TL,Tech Lead,Manager / Lead,2,113354,PHP,SEMI_MONTHLY,REGULAR,ACTIVE,ONSITE,2020-02-25,EMP-00013
EMP-00063,Juan,Reyes,Maria,juan.reyes.63@example.com,Tech Lead,IT,IT Department,IT-TL,Tech Lead,Manager / Lead,2,159158,PHP,SEMI_MONTHLY,PROBATIONARY,ACTIVE,ONSITE,2020-03-01,EMP-00012
EMP-00064,Kevin,Flores,,kevin.flores.64@example.com,Project Manager,IT,IT Department,IT-PM,Project Manager,Manager / Lead,2,169828,PHP,SEMI_MONTHLY,REGULAR,ACTIVE,HYBRID,2021-12-05,EMP-00015
EMP-00065,Ana,Manalo,Miguel,ana.manalo.65@example.com,Tech Lead,IT,IT Department,IT-TL,Tech Lead,Manager / Lead,2,121225,PHP,SEMI_MONTHLY,REGULAR,ACTIVE,ONSITE,2021-08-20,EMP-00018
EMP-00066,Ana,Ramos,,ana.ramos.66@example.com,Tech Lead,IT,IT Department,IT-TL,Tech Lead,Manager / Lead,2,166385,PHP,SEMI_MONTHLY,PROBATIONARY,ACTIVE,REMOTE,2021-07-03,EMP-00014
EMP-00067,Camille,Vargas,,camille.vargas.67@example.com,Project Manager,IT,IT Department,IT-PM,Project Manager,Manager / Lead,2,149143,PHP,SEMI_MONTHLY,PROBATIONARY,ACTIVE,HYBRID,2021-06-13,EMP-00002
EMP-00068,Patricia,Soriano,,patricia.soriano.68@example.com,Tech Lead,IT,IT Department,IT-TL,Tech Lead,Manager / Lead,2,172815,PHP,SEMI_MONTHLY,PROBATIONARY,ACTIVE,HYBRID,2020-05-01,EMP-00001
EMP-00069,Ana,Gonzales,,ana.gonzales.69@example.com,Tech Lead,IT,IT Department,IT-TL,Tech Lead,Manager / Lead,2,112723,PHP,SEMI_MONTHLY,REGULAR,ACTIVE,HYBRID,2021-08-13,EMP-00014
EMP-00070,Juan,Lopez,Maria,juan.lopez.70@example.com,Project Manager,IT,IT Department,IT-PM,Project Manager,Manager / Lead,2,127012,PHP,SEMI_MONTHLY,PROBATIONARY,ACTIVE,ONSITE,2020-01-18,EMP-00006
EMP-00071,Grace,Reyes,,grace.reyes.71@example.com,Tech Lead,IT,IT Department,IT-TL,Tech Lead,Manager / Lead,2,176162,PHP,SEMI_MONTHLY,PROBATIONARY,ACTIVE,REMOTE,2021-08-21,EMP-00008
EMP-00072,Ana,Rivera,,ana.rivera.72@example.com,Project Manager,IT,IT Department,IT-PM,Project Manager,Manager / Lead,2,102057,PHP,SEMI_MONTHLY,REGULAR,ACTIVE,ONSITE,2021-02-07,EMP-00002
EMP-00073,Isabella,Gonzales,,isabella.gonzales.73@example.com,Project Manager,IT,IT Department,IT-PM,Project Manager,Manager / Lead,2,154004,PHP,SEMI_MONTHLY,REGULAR,ACTIVE,ONSITE,2020-02-25,EMP-00004
EMP-00074,Kevin,Fernandez,,kevin.fernandez.74@example.com,Tech Lead,IT,IT Department,IT-TL,Tech Lead,Manager / Lead,2,111903,PHP,SEMI_MONTHLY,REGULAR,ACTIVE,HYBRID,2021-06-23,EMP-00005
EMP-00075,James,Garcia,Juan,james.garcia.75@example.com,Project Manager,IT,IT Department,IT-PM,Project Manager,Manager / Lead,2,113046,PHP,SEMI_MONTHLY,PROBATIONARY,ACTIVE,ONSITE,2020-09-16,EMP-00011
EMP-00076,Miguel,Fernandez,,miguel.fernandez.76@example.com,Tech Lead,IT,IT Department,IT-TL,Tech Lead,Manager / Lead,2,142587,PHP,SEMI_MONTHLY,REGULAR,ACTIVE,ONSITE,2021-03-04,EMP-00007
EMP-00077,Miguel,Manalo,Christine,miguel.manalo.77@example.com,Tech Lead,IT,IT Department,IT-TL,Tech Lead,Manager / Lead,2,106874,PHP,SEMI_MONTHLY,REGULAR,ACTIVE,ONSITE,2021-03-23,EMP-00013
EMP-00078,Kevin,Flores,Patricia,kevin.flores.78@example.com,Tech Lead,IT,IT Department,IT-TL,Tech Lead,Manager / Lead,2,117437,PHP,SEMI_MONTHLY,REGULAR,ACTIVE,ONSITE,2021-11-04,EMP-00016
EMP-00079,Grace,Cruz,,grace.cruz.79@example.com,Project Manager,IT,IT Department,IT-PM,Project Manager,Manager / Lead,2,161649,PHP,SEMI_MONTHLY,REGULAR,ACTIVE,REMOTE,2020-11-15,EMP-00020
EMP-00080,John,Garcia,,john.garcia.80@example.com,Tech Lead,IT,IT Department,IT-TL,Tech Lead,Manager / Lead,2,107919,PHP,SEMI_MONTHLY,REGULAR,ACTIVE,REMOTE,2021-01-02,EMP-00019
EMP-00081,Isabella,Soriano,Angela,isabella.soriano.81@example.com,Project Manager,IT,IT Department,IT-PM,Project Manager,Manager / Lead,2,143772,PHP,SEMI_MONTHLY,REGULAR,ACTIVE,REMOTE,2021-05-12,EMP-00020
EMP-00082,Isabella,Mendoza,,isabella.mendoza.82@example.com,Project Manager,IT,IT Department,IT-PM,Project Manager,Manager / Lead,2,117715,PHP,SEMI_MONTHLY,PROBATIONARY,ACTIVE,HYBRID,2020-10-27,EMP-00015
EMP-00083,Carlos,Aquino,Patricia,carlos.aquino.83@example.com,Project Manager,IT,IT Department,IT-PM,Project Manager,Manager / Lead,2,164112,PHP,SEMI_MONTHLY,PROBATIONARY,ACTIVE,REMOTE,2021-11-26,EMP-00020
EMP-00084,Mark,Castro,,mark.castro.84@example.com,Tech Lead,IT,IT Department,IT-TL,Tech Lead,Manager / Lead,2,129753,PHP,SEMI_MONTHLY,REGULAR,ACTIVE,HYBRID,2020-06-02,EMP-00011
EMP-00085,Carlos,Soriano,,carlos.soriano.85@example.com,Project Manager,IT,IT Department,IT-PM,Project Manager,Manager / Lead,2,110739,PHP,SEMI_MONTHLY,REGULAR,ACTIVE,REMOTE,2021-03-19,EMP-00008
EMP-00086,Nicole,Vargas,,nicole.vargas.86@example.com,Project Manager,IT,IT Department,IT-PM,Project Manager,Manager / Lead,2,114779,PHP,SEMI_MONTHLY,REGULAR,ACTIVE,HYBRID,2021-02-06,EMP-00003
EMP-00087,Isabella,Gonzales,,isabella.gonzales.87@example.com,Project Manager,IT,IT Department,IT-PM,Project Manager,Manager / Lead,2,164294,PHP,SEMI_MONTHLY,PROBATIONARY,ACTIVE,HYBRID,2021-04-16,EMP-00012
EMP-00088,Carlos,Vargas,Grace,carlos.vargas.88@example.com,Tech Lead,IT,IT Department,IT-TL,Tech Lead,Manager / Lead,2,168329,PHP,SEMI_MONTHLY,REGULAR,ACTIVE,HYBRID,2020-09-03,EMP-00007
EMP-00089,Maria,Rivera,Camille,maria.rivera.89@example.com,Tech Lead,IT,IT Department,IT-TL,Tech Lead,Manager / Lead,2,139565,PHP,SEMI_MONTHLY,PROBATIONARY,ACTIVE,ONSITE,2021-08-02,EMP-00011
EMP-00090,Daniel,Fernandez,,daniel.fernandez.90@example.com,Project Manager,IT,IT Department,IT-PM,Project Manager,Manager / Lead,2,111418,PHP,SEMI_MONTHLY,REGULAR,ACTIVE,ONSITE,2020-02-13,EMP-00019
EMP-00091,Rafael,Fernandez,Rafael,rafael.fernandez.91@example.com,Tech Lead,IT,IT Department,IT-TL,Tech Lead,Manager / Lead,2,136242,PHP,SEMI_MONTHLY,REGULAR,ACTIVE,ONSITE,2021-05-17,EMP-00006
EMP-00092,Kevin,Manalo,Maria,kevin.manalo.92@example.com,Project Manager,IT,IT Department,IT-PM,Project Manager,Manager / Lead,2,158120,PHP,SEMI_MONTHLY,PROBATIONARY,ACTIVE,HYBRID,2020-03-19,EMP-00001
EMP-00093,Jose,Santos,,jose.santos.93@example.com,Tech Lead,IT,IT Department,IT-TL,Tech Lead,Manager / Lead,2,149927,PHP,SEMI_MONTHLY,REGULAR,ACTIVE,REMOTE,2021-04-14,EMP-00018
EMP-00094,Daniel,Ramos,Miguel,daniel.ramos.94@example.com,Tech Lead,IT,IT Department,IT-TL,Tech Lead,Manager / Lead,2,154324,PHP,SEMI_MONTHLY,REGULAR,ACTIVE,ONSITE,2020-02-26,EMP-00019
EMP-00095,Daniel,Garcia,Maria,daniel.garcia.95@example.com,Tech Lead,IT,IT Department,IT-TL,Tech Lead,Manager / Lead,2,112735,PHP,SEMI_MONTHLY,PROBATIONARY,ACTIVE,HYBRID,2020-11-23,EMP-00015
EMP-00096,Christine,Ramos,Sofia,christine.ramos.96@example.com,Project Manager,IT,IT Department,IT-PM,Project Manager,Manager / Lead,2,101832,PHP,SEMI_MONTHLY,REGULAR,ACTIVE,ONSITE,2020-07-28,EMP-00004
EMP-00097,James,Torres,James,james.torres.97@example.com,Project Manager,IT,IT Department,IT-PM,Project Manager,Manager / Lead,2,144761,PHP,SEMI_MONTHLY,REGULAR,ACTIVE,ONSITE,2021-03-09,EMP-00013
EMP-00098,Daniel,Garcia,,daniel.garcia.98@example.com,Tech Lead,IT,IT Department,IT-TL,Tech Lead,Manager / Lead,2,146301,PHP,SEMI_MONTHLY,REGULAR,ACTIVE,ONSITE,2021-01-26,EMP-00017
EMP-00099,Isabella,Mendoza,,isabella.mendoza.99@example.com,Tech Lead,IT,IT Department,IT-TL,Tech Lead,Manager / Lead,2,110631,PHP,SEMI_MONTHLY,PROBATIONARY,ACTIVE,ONSITE,2020-09-04,EMP-00019
EMP-00100,Maria,Manalo,Mark,maria.manalo.100@example.com,Tech Lead,IT,IT Department,IT-TL,Tech Lead,Manager / Lead,2,130242,PHP,SEMI_MONTHLY,REGULAR,ACTIVE,ONSITE,2021-03-14,EMP-00014
EMP-00101,Isabella,Reyes,,isabella.reyes.101@example.com,Senior Developer,IT,IT Department,IT-SR-DEV,Senior Developer,Senior,3,75264,PHP,SEMI_MONTHLY,PROBATIONARY,ACTIVE,HYBRID,2022-11-14,EMP-00043
EMP-00102,James,Santos,James,james.santos.102@example.com,Senior Developer,IT,IT Department,IT-SR-DEV,Senior Developer,Senior,3,109347,PHP,SEMI_MONTHLY,PROBATIONARY,ACTIVE,HYBRID,2021-05-01,EMP-00030
EMP-00103,Christine,Rivera,Maria,christine.rivera.103@example.com,Senior Developer,IT,IT Department,IT-SR-DEV,Senior Developer,Senior,3,80945,PHP,SEMI_MONTHLY,CONTRACTUAL,ACTIVE,ONSITE,2021-08-16,EMP-00072
EMP-00104,Nicole,Santos,Mark,nicole.santos.104@example.com,Senior Developer,IT,IT Department,IT-SR-DEV,Senior Developer,Senior,3,108877,PHP,SEMI_MONTHLY,CONTRACTUAL,ACTIVE,REMOTE,2025-08-06,EMP-00082
EMP-00105,Grace,Castro,,grace.castro.105@example.com,Senior Developer,IT,IT Department,IT-SR-DEV,Senior Developer,Senior,3,65747,PHP,SEMI_MONTHLY,PROBATIONARY,ACTIVE,REMOTE,2024-08-14,EMP-00047
EMP-00106,Kevin,Reyes,,kevin.reyes.106@example.com,Senior Developer,IT,IT Department,IT-SR-DEV,Senior Developer,Senior,3,88256,PHP,SEMI_MONTHLY,CONTRACTUAL,ACTIVE,ONSITE,2025-09-04,EMP-00057
EMP-00107,Daniel,Pascual,Sofia,daniel.pascual.107@example.com,Senior Developer,IT,IT Department,IT-SR-DEV,Senior Developer,Senior,3,61896,PHP,SEMI_MONTHLY,CONTRACTUAL,ACTIVE,REMOTE,2024-05-10,EMP-00035
EMP-00108,Kevin,Mendoza,,kevin.mendoza.108@example.com,Senior Developer,IT,IT Department,IT-SR-DEV,Senior Developer,Senior,3,103575,PHP,SEMI_MONTHLY,CONTRACTUAL,ACTIVE,ONSITE,2023-12-20,EMP-00026
EMP-00109,Juan,Hernandez,James,juan.hernandez.109@example.com,Senior Developer,IT,IT Department,IT-SR-DEV,Senior Developer,Senior,3,116450,PHP,SEMI_MONTHLY,CONTRACTUAL,ACTIVE,ONSITE,2025-09-26,EMP-00066
EMP-00110,Nicole,Torres,,nicole.torres.110@example.com,Senior Developer,IT,IT Department,IT-SR-DEV,Senior Developer,Senior,3,69085,PHP,SEMI_MONTHLY,PROBATIONARY,ACTIVE,REMOTE,2025-08-24,EMP-00052
EMP-00111,Juan,Castro,,juan.castro.111@example.com,Senior Developer,IT,IT Department,IT-SR-DEV,Senior Developer,Senior,3,103267,PHP,SEMI_MONTHLY,PROBATIONARY,ACTIVE,HYBRID,2023-07-09,EMP-00041
EMP-00112,Miguel,Bautista,,miguel.bautista.112@example.com,Senior Developer,IT,IT Department,IT-SR-DEV,Senior Developer,Senior,3,94746,PHP,SEMI_MONTHLY,REGULAR,ACTIVE,ONSITE,2024-12-15,EMP-00063
EMP-00113,Angela,Santos,,angela.santos.113@example.com,Senior Developer,IT,IT Department,IT-SR-DEV,Senior Developer,Senior,3,72846,PHP,SEMI_MONTHLY,PROBATIONARY,ACTIVE,HYBRID,2025-01-16,EMP-00043
EMP-00114,Nicole,Reyes,Camille,nicole.reyes.114@example.com,Senior Developer,IT,IT Department,IT-SR-DEV,Senior Developer,Senior,3,80376,PHP,SEMI_MONTHLY,PROBATIONARY,ACTIVE,ONSITE,2022-04-23,EMP-00056
