Employee No.,Date Hired,Section,Last Name,First Name,Middle Name,Registered Address,Zip Code,Birthday,TIN,Civil Status,No. of Dependents,Previous Employer,Position,Employment Status,Date of Resignation,Remarks
01364,8-Aug-23,GA/HR,Garcia,Dianne,Dimaano,"Brgy. Lodlod, Lipa City",4217,19-Feb-97,712-704-563,Single,,Calcomp Precision Phil Inc.,Staff,Inactive,4-Jul-25,NPE
01414,1-Mar-24,Quality Control /ISO,Santos,Jennelene,Masarap,"Brgy. 2, Lipa City Batangas",4217,11-Aug-94,340-403-289,Single,,Avance Pilipinas Inc.,Operator,Inactive,11-Jul-25,MWE
01623,14-May-25,Injection and Mold Maintenance,Macaraig,Diovelyn,,"Brgy. Santiago, Malvar, Batangas",4233,7-Mar-97,342-429-550,Single,,Cepol,Operator,Inactive,11-Jul-25,MWE
20013,13-Feb-18,Production/Administration,Delos Reyes,Marco,Garcia,"Brgy. Tambo, Lipa City, Batangas",4232,12-Feb-94,813-413-113,Married,,Yazaki Torres Manufacturing,Supervisor,Active,,MWE
20014,16-Mar-19,Production/Administration,Manalo,Elena,Lopez,"Brgy. Marawoy, Lipa City, Batangas",4233,17-Mar-95,814-414-114,Single,1,First Sumiden Circuits,Senior Supervisor,Active,,NPE | WPE
20015,19-Apr-20,Production/Administration,De Leon,Hannah,Torres,"Brgy. Bagbag, Tanauan City, Batangas",4200,22-Apr-96,815-415-115,Married,2,Brother Industries Philippines,Senior Staff,Active,,Internal transfer
20016,22-May-21,Production/Administration,Padilla,Gabriel,Flores,"Brgy. Poblacion, Malvar, Batangas",4230,27-May-97,816-416-116,Single,,Epson Precision Philippines,Staff,Active,,NPE
20017,25-Jun-22,Production/Administration,Villareal,Carla,Ramos,"Brgy. Tibig, Batangas City, Batangas",4219,5-Jun-98,817-417-117,Married,,Nestle Philippines,Junior Supervisor,Active,,MWE
20018,1-Jul-23,Production/Administration,Samonte,Rafael,Diaz,"Brgy. Banay-Banay, Lipa City, Batangas",4217,10-Jul-81,818-418-118,Single,1,,Specialist,Inactive,11-Jul-25,NPE | WPE
20019,4-Aug-24,Production/Administration,Yambao,Bianca,Mendoza,"Brgy. Tambo, Lipa City, Batangas",4232,15-Aug-82,819-419-119,Married,2,Yazaki Torres Manufacturing,Junior Specialist,Active,,Internal transfer
20020,7-Sep-15,Production/Administration,Navarro,Liam,Santos,"Brgy. Marawoy, Lipa City, Batangas",4233,20-Sep-83,820-420-120,Single,,First Sumiden Circuits,Technician,Active,,NPE
20021,10-Oct-16,Production/Administration,Morales,Noah,Reyes,"Brgy. Bagbag, Tanauan City, Batangas",4200,25-Oct-84,821-421-121,Married,,Brother Industries Philippines,Management Trainee,Active,,MWE
20022,13-Nov-17,Production/Administration,Villanueva,Ethan,Cruz,"Brgy. Poblacion, Malvar, Batangas",4230,3-Nov-85,822-422-122,Single,1,Epson Precision Philippines,Factory Manager,Active,,NPE | WPE
20023,16-Dec-18,Assembly,Pascual,Lucas,Garcia,"Brgy. Tibig, Batangas City, Batangas",4219,8-Dec-86,823-423-123,Married,2,Nestle Philippines,Operator,Active,,Internal transfer
20024,19-Jan-19,Assembly,Valdez,Aiden,Lopez,"Brgy. Banay-Banay, Lipa City, Batangas",4217,13-Jan-87,824-424-124,Single,,,Senior Operator,Active,,NPE
20025,22-Feb-20,Accounting,Soriano,Mia,Torres,"Brgy. Tambo, Lipa City, Batangas",4232,18-Feb-88,825-425-125,Married,,Yazaki Torres Manufacturing,Manager,Active,,MWE
20026,25-Mar-21,GA/HR,Dominguez,Emma,Flores,"Brgy. Marawoy, Lipa City, Batangas",4233,23-Mar-89,826-426-126,Single,1,First Sumiden Circuits,Staff,Active,,NPE | WPE
20027,1-Apr-22,Decoration,Mercado,Sophia,Ramos,"Brgy. Bagbag, Tanauan City, Batangas",4200,1-Apr-90,827-427-127,Married,2,Brother Industries Philippines,Assistant Manager,Inactive,11-Jul-25,Internal transfer
20028,4-May-23,Decoration,Castillo,Olivia,Diaz,"Brgy. Poblacion, Malvar, Batangas",4230,6-May-91,828-428-128,Single,,Epson Precision Philippines,Supervisor,Active,,NPE
20029,7-Jun-24,Process Engineering,Aquino,Ava,Mendoza,"Brgy. Tibig, Batangas City, Batangas",4219,11-Jun-92,829-429-129,Married,,Nestle Philippines,Manager,Active,,MWE
20030,10-Jul-15,Injection and Mold Maintenance,Cabrera,Isla,Santos,"Brgy. Banay-Banay, Lipa City, Batangas",4217,16-Jul-93,830-430-130,Single,1,,Senior Supervisor,Active,,NPE | WPE
20031,13-Aug-16,Injection and Mold Maintenance,Fuentes,Leah,Reyes,"Brgy. Tambo, Lipa City, Batangas",4232,21-Aug-94,831-431-131,Married,2,Yazaki Torres Manufacturing,Operator,Active,,Internal transfer
20032,16-Sep-17,Product Assurance,Rosales,Nico,Cruz,"Brgy. Marawoy, Lipa City, Batangas",4233,26-Sep-95,832-432-132,Single,,First Sumiden Circuits,Senior Manager,Active,,NPE
20033,19-Oct-18,Production Planning,Delos Reyes,Marco,Garcia,"Brgy. Bagbag, Tanauan City, Batangas",4200,4-Oct-96,833-433-133,Married,,Brother Industries Philippines,Senior Supervisor,Active,,MWE
20034,22-Nov-19,Sales,Manalo,Elena,Lopez,"Brgy. Poblacion, Malvar, Batangas",4230,9-Nov-97,834-434-134,Single,1,Epson Precision Philippines,Staff,Active,,NPE | WPE
20035,25-Dec-20,Warehouse,De Leon,Hannah,Torres,"Brgy. Tibig, Batangas City, Batangas",4219,14-Dec-98,835-435-135,Married,2,Nestle Philippines,Operator,Active,,Internal transfer
20036,1-Jan-21,Facilities,Padilla,Gabriel,Flores,"Brgy. Banay-Banay, Lipa City, Batangas",4217,19-Jan-81,836-436-136,Single,,,Technician,Inactive,11-Jul-25,NPE
20037,4-Feb-22,Import/Export,Villareal,Carla,Ramos,"Brgy. Tambo, Lipa City, Batangas",4232,24-Feb-82,837-437-137,Married,,Yazaki Torres Manufacturing,Staff,Active,,MWE
20038,7-Mar-23,Purchasing,Samonte,Rafael,Diaz,"Brgy. Marawoy, Lipa City, Batangas",4233,2-Mar-83,838-438-138,Single,1,First Sumiden Circuits,Specialist,Active,,NPE | WPE
20039,10-Apr-24,Quality Assurance,Yambao,Bianca,Mendoza,"Brgy. Bagbag, Tanauan City, Batangas",4200,7-Apr-84,839-439-139,Married,2,Brother Industries Philippines,Junior Specialist,Active,,Internal transfer
20040,13-May-15,Quality Control,Navarro,Liam,Santos,"Brgy. Poblacion, Malvar, Batangas",4230,12-May-85,840-440-140,Single,,Epson Precision Philippines,Operator,Active,,NPE
20041,16-Jun-16,Human Resources,Morales,Noah,Reyes,"Brgy. Tibig, Batangas City, Batangas",4219,17-Jun-86,841-441-141,Married,,Nestle Philippines,HR Manager,Active,,MWE
20042,19-Jul-17,Engineering,Villanueva,Ethan,Cruz,"Brgy. Banay-Banay, Lipa City, Batangas",4217,22-Jul-87,842-442-142,Single,1,,Engineering Manager,Active,,NPE | WPE
20043,22-Aug-18,Engineering,Pascual,Lucas,Garcia,"Brgy. Tambo, Lipa City, Batangas",4232,27-Aug-88,843-443-143,Married,2,Yazaki Torres Manufacturing,Software Engineer,Active,,Internal transfer
20044,25-Sep-19,Strategic Planning,Valdez,Aiden,Lopez,"Brgy. Marawoy, Lipa City, Batangas",4233,5-Sep-89,844-444-144,Single,,First Sumiden Circuits,President,Active,,NPE
20045,1-Oct-20,Strategic Planning,Soriano,Mia,Torres,"Brgy. Bagbag, Tanauan City, Batangas",4200,10-Oct-90,845-445-145,Married,,Brother Industries Philippines,General Manager,Inactive,11-Jul-25,MWE
20046,4-Nov-21,Strategic Planning,Dominguez,Emma,Flores,"Brgy. Poblacion, Malvar, Batangas",4230,15-Nov-91,846-446-146,Single,1,Epson Precision Philippines,Deputy General Manager,Active,,NPE | WPE
20047,7-Dec-22,Project Engineering,Mercado,Sophia,Ramos,"Brgy. Tibig, Batangas City, Batangas",4219,20-Dec-92,847-447-147,Married,2,Nestle Philippines,Senior Engineer,Active,,Internal transfer
20048,10-Jan-23,Project Engineering,Castillo,Olivia,Diaz,"Brgy. Banay-Banay, Lipa City, Batangas",4217,25-Jan-93,848-448-148,Single,,,Engineer,Active,,NPE
20049,13-Feb-24,Project Engineering,Aquino,Ava,Mendoza,"Brgy. Tambo, Lipa City, Batangas",4232,3-Feb-94,849-449-149,Married,,Yazaki Torres Manufacturing,Staff Engineer,Active,,MWE
20050,16-Mar-15,Project Engineering,Cabrera,Isla,Santos,"Brgy. Marawoy, Lipa City, Batangas",4233,8-Mar-95,850-450-150,Single,1,First Sumiden Circuits,Junior Engineer,Active,,NPE | WPE
20051,19-Apr-16,Production/Administration,Fuentes,Leah,Reyes,"Brgy. Bagbag, Tanauan City, Batangas",4200,13-Apr-96,851-451-151,Married,2,Brother Industries Philippines,Senior Manager,Active,,Internal transfer
20052,22-May-17,Production/Administration,Rosales,Nico,Cruz,"Brgy. Poblacion, Malvar, Batangas",4230,18-May-97,852-452-152,Single,,Epson Precision Philippines,Assistant Manager,Active,,NPE
20053,25-Jun-18,Production/Administration,Delos Reyes,Marco,Garcia,"Brgy. Tibig, Batangas City, Batangas",4219,23-Jun-98,853-453-153,Married,,Nestle Philippines,Manager,Active,,MWE
20054,1-Jul-19,Production/Administration,Manalo,Elena,Lopez,"Brgy. Banay-Banay, Lipa City, Batangas",4217,1-Jul-81,854-454-154,Single,1,,Supervisor,Inactive,11-Jul-25,NPE | WPE
20055,4-Aug-20,Production/Administration,De Leon,Hannah,Torres,"Brgy. Tambo, Lipa City, Batangas",4232,6-Aug-82,855-455-155,Married,2,Yazaki Torres Manufacturing,Senior Supervisor,Active,,Internal transfer
20056,7-Sep-21,Production/Administration,Padilla,Gabriel,Flores,"Brgy. Marawoy, Lipa City, Batangas",4233,11-Sep-83,856-456-156,Single,,First Sumiden Circuits,Senior Staff,Active,,NPE
20057,10-Oct-22,Production/Administration,Villareal,Carla,Ramos,"Brgy. Bagbag, Tanauan City, Batangas",4200,16-Oct-84,857-457-157,Married,,Brother Industries Philippines,Staff,Active,,MWE
20058,13-Nov-23,Production/Administration,Samonte,Rafael,Diaz,"Brgy. Poblacion, Malvar, Batangas",4230,21-Nov-85,858-458-158,Single,1,Epson Precision Philippines,Junior Supervisor,Active,,NPE | WPE
20059,16-Dec-24,Production/Administration,Yambao,Bianca,Mendoza,"Brgy. Tibig, Batangas City, Batangas",4219,26-Dec-86,859-459-159,Married,2,Nestle Philippines,Specialist,Active,,Internal transfer
20060,19-Jan-15,Production/Administration,Navarro,Liam,Santos,"Brgy. Banay-Banay, Lipa City, Batangas",4217,4-Jan-87,860-460-160,Single,,,Junior Specialist,Active,,NPE
20061,22-Feb-16,Production/Administration,Morales,Noah,Reyes,"Brgy. Tambo, Lipa City, Batangas",4232,9-Feb-88,861-461-161,Married,,Yazaki Torres Manufacturing,Technician,Active,,MWE
20062,25-Mar-17,Production/Administration,Villanueva,Ethan,Cruz,"Brgy. Marawoy, Lipa City, Batangas",4233,14-Mar-89,862-462-162,Single,1,First Sumiden Circuits,Management Trainee,Active,,NPE | WPE
20063,1-Apr-18,Production/Administration,Pascual,Lucas,Garcia,"Brgy. Bagbag, Tanauan City, Batangas",4200,19-Apr-90,863-463-163,Married,2,Brother Industries Philippines,Factory Manager,Inactive,11-Jul-25,Internal transfer
20064,4-May-19,Assembly,Valdez,Aiden,Lopez,"Brgy. Poblacion, Malvar, Batangas",4230,24-May-91,864-464-164,Single,,Epson Precision Philippines,Operator,Active,,NPE
20065,7-Jun-20,Assembly,Soriano,Mia,Torres,"Brgy. Tibig, Batangas City, Batangas",4219,2-Jun-92,865-465-165,Married,,Nestle Philippines,Senior Operator,Active,,MWE
20066,10-Jul-21,Accounting,Dominguez,Emma,Flores,"Brgy. Banay-Banay, Lipa City, Batangas",4217,7-Jul-93,866-466-166,Single,1,,Manager,Active,,NPE | WPE
20067,13-Aug-22,GA/HR,Mercado,Sophia,Ramos,"Brgy. Tambo, Lipa City, Batangas",4232,12-Aug-94,867-467-167,Married,2,Yazaki Torres Manufacturing,Staff,Active,,Internal transfer
20068,16-Sep-23,Decoration,Castillo,Olivia,Diaz,"Brgy. Marawoy, Lipa City, Batangas",4233,17-Sep-95,868-468-168,Single,,First Sumiden Circuits,Assistant Manager,Active,,NPE
20069,19-Oct-24,Decoration,Aquino,Ava,Mendoza,"Brgy. Bagbag, Tanauan City, Batangas",4200,22-Oct-96,869-469-169,Married,,Brother Industries Philippines,Supervisor,Active,,MWE
20070,22-Nov-15,Process Engineering,Cabrera,Isla,Santos,"Brgy. Poblacion, Malvar, Batangas",4230,27-Nov-97,870-470-170,Single,1,Epson Precision Philippines,Manager,Active,,NPE | WPE
20071,25-Dec-16,Injection and Mold Maintenance,Fuentes,Leah,Reyes,"Brgy. Tibig, Batangas City, Batangas",4219,5-Dec-98,871-471-171,Married,2,Nestle Philippines,Senior Supervisor,Active,,Internal transfer
20072,1-Jan-17,Injection and Mold Maintenance,Rosales,Nico,Cruz,"Brgy. Banay-Banay, Lipa City, Batangas",4217,10-Jan-81,872-472-172,Single,,,Operator,Inactive,11-Jul-25,NPE
20073,4-Feb-18,Product Assurance,Delos Reyes,Marco,Garcia,"Brgy. Tambo, Lipa City, Batangas",4232,15-Feb-82,873-473-173,Married,,Yazaki Torres Manufacturing,Senior Manager,Active,,MWE
20074,7-Mar-19,Production Planning,Manalo,Elena,Lopez,"Brgy. Marawoy, Lipa City, Batangas",4233,20-Mar-83,874-474-174,Single,1,First Sumiden Circuits,Senior Supervisor,Active,,NPE | WPE
20075,10-Apr-20,Sales,De Leon,Hannah,Torres,"Brgy. Bagbag, Tanauan City, Batangas",4200,25-Apr-84,875-475-175,Married,2,Brother Industries Philippines,Staff,Active,,Internal transfer
20076,13-May-21,Warehouse,Padilla,Gabriel,Flores,"Brgy. Poblacion, Malvar, Batangas",4230,3-May-85,876-476-176,Single,,Epson Precision Philippines,Operator,Active,,NPE
20077,16-Jun-22,Facilities,Villareal,Carla,Ramos,"Brgy. Tibig, Batangas City, Batangas",4219,8-Jun-86,877-477-177,Married,,Nestle Philippines,Technician,Active,,MWE
20078,19-Jul-23,Import/Export,Samonte,Rafael,Diaz,"Brgy. Banay-Banay, Lipa City, Batangas",4217,13-Jul-87,878-478-178,Single,1,,Staff,Active,,NPE | WPE
20079,22-Aug-24,Purchasing,Yambao,Bianca,Mendoza,"Brgy. Tambo, Lipa City, Batangas",4232,18-Aug-88,879-479-179,Married,2,Yazaki Torres Manufacturing,Specialist,Active,,Internal transfer
20080,25-Sep-15,Quality Assurance,Navarro,Liam,Santos,"Brgy. Marawoy, Lipa City, Batangas",4233,23-Sep-89,880-480-180,Single,,First Sumiden Circuits,Junior Specialist,Active,,NPE
20081,1-Oct-16,Quality Control,Morales,Noah,Reyes,"Brgy. Bagbag, Tanauan City, Batangas",4200,1-Oct-90,881-481-181,Married,,Brother Industries Philippines,Operator,Inactive,11-Jul-25,MWE
20082,4-Nov-17,Human Resources,Villanueva,Ethan,Cruz,"Brgy. Poblacion, Malvar, Batangas",4230,6-Nov-91,882-482-182,Single,1,Epson Precision Philippines,HR Manager,Active,,NPE | WPE
20083,7-Dec-18,Engineering,Pascual,Lucas,Garcia,"Brgy. Tibig, Batangas City, Batangas",4219,11-Dec-92,883-483-183,Married,2,Nestle Philippines,Engineering Manager,Active,,Internal transfer
20084,10-Jan-19,Engineering,Valdez,Aiden,Lopez,"Brgy. Banay-Banay, Lipa City, Batangas",4217,16-Jan-93,884-484-184,Single,,,Software Engineer,Active,,NPE
20085,13-Feb-20,Strategic Planning,Soriano,Mia,Torres,"Brgy. Tambo, Lipa City, Batangas",4232,21-Feb-94,885-485-185,Married,,Yazaki Torres Manufacturing,President,Active,,MWE
20086,16-Mar-21,Strategic Planning,Dominguez,Emma,Flores,"Brgy. Marawoy, Lipa City, Batangas",4233,26-Mar-95,886-486-186,Single,1,First Sumiden Circuits,General Manager,Active,,NPE | WPE
20087,19-Apr-22,Strategic Planning,Mercado,Sophia,Ramos,"Brgy. Bagbag, Tanauan City, Batangas",4200,4-Apr-96,887-487-187,Married,2,Brother Industries Philippines,Deputy General Manager,Active,,Internal transfer
20088,22-May-23,Project Engineering,Castillo,Olivia,Diaz,"Brgy. Poblacion, Malvar, Batangas",4230,9-May-97,888-488-188,Single,,Epson Precision Philippines,Senior Engineer,Active,,NPE
20089,25-Jun-24,Project Engineering,Aquino,Ava,Mendoza,"Brgy. Tibig, Batangas City, Batangas",4219,14-Jun-98,889-489-189,Married,,Nestle Philippines,Engineer,Active,,MWE
20090,1-Jul-15,Project Engineering,Cabrera,Isla,Santos,"Brgy. Banay-Banay, Lipa City, Batangas",4217,19-Jul-81,890-490-190,Single,1,,Staff Engineer,Inactive,11-Jul-25,NPE | WPE
20091,4-Aug-16,Project Engineering,Fuentes,Leah,Reyes,"Brgy. Tambo, Lipa City, Batangas",4232,24-Aug-82,891-491-191,Married,2,Yazaki Torres Manufacturing,Junior Engineer,Active,,Internal transfer
20092,7-Sep-17,Production/Administration,Rosales,Nico,Cruz,"Brgy. Marawoy, Lipa City, Batangas",4233,2-Sep-83,892-492-192,Single,,First Sumiden Circuits,Senior Manager,Active,,NPE
20093,10-Oct-18,Production/Administration,Delos Reyes,Marco,Garcia,"Brgy. Bagbag, Tanauan City, Batangas",4200,7-Oct-84,893-493-193,Married,,Brother Industries Philippines,Assistant Manager,Active,,MWE
20094,13-Nov-19,Production/Administration,Manalo,Elena,Lopez,"Brgy. Poblacion, Malvar, Batangas",4230,12-Nov-85,894-494-194,Single,1,Epson Precision Philippines,Manager,Active,,NPE | WPE
20095,16-Dec-20,Production/Administration,De Leon,Hannah,Torres,"Brgy. Tibig, Batangas City, Batangas",4219,17-Dec-86,895-495-195,Married,2,Nestle Philippines,Supervisor,Active,,Internal transfer
20096,19-Jan-21,Production/Administration,Padilla,Gabriel,Flores,"Brgy. Banay-Banay, Lipa City, Batangas",4217,22-Jan-87,896-496-196,Single,,,Senior Supervisor,Active,,NPE
20097,22-Feb-22,Production/Administration,Villareal,Carla,Ramos,"Brgy. Tambo, Lipa City, Batangas",4232,27-Feb-88,897-497-197,Married,,Yazaki Torres Manufacturing,Senior Staff,Active,,MWE
20098,25-Mar-23,Production/Administration,Samonte,Rafael,Diaz,"Brgy. Marawoy, Lipa City, Batangas",4233,5-Mar-89,898-498-198,Single,1,First Sumiden Circuits,Staff,Active,,NPE | WPE
20099,1-Apr-24,Production/Administration,Yambao,Bianca,Mendoza,"Brgy. Bagbag, Tanauan City, Batangas",4200,10-Apr-90,899-499-199,Married,2,Brother Industries Philippines,Junior Supervisor,Inactive,11-Jul-25,Internal transfer
